Id,indegree,outdegree,clustering,inventor,citedby,citingno,country,company,class,subcategory
"5495411","2","0","0.5","Mohan Ananda","15","9","UNITED STATES","None","Data Processing: Financial, Business Practice, Management, or Cost/Price Determination","Computer Hardware & Software"
"5495610","2","0","0.5","Leonid Erlikh, James Hughes, Jeffrey Lambert, Nicholas Lim, Joel Moskowitz, Elaine Power, Norman Shing, Vivek Wadhwa","30","34","UNITED STATES","SEER TECHNOLOGIES, INC.","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5536306","2","0","0.5","Loren Johnson, Hiang Lauw, Norman Pawlowski, James Shields, John Skene","18","12","UNITED STATES","HEWLETT-PACKARD COMPANY","Compositions:  Coating or Plastic","Coating"
"5547476","2","0","0.5","Timothy Roetker, Michael Siklosi","22","82","UNITED STATES","PROCTER + GAMBLE COMPANY","Bleaching and Dyeing; Fluid Treatment and Chemical Modification of Textiles and Fibers","Agriculture,Food,Textiles"
"5548645","1","1","0.5","Mohan Ananda","11","12","UNITED STATES","None","Data Processing: Financial, Business Practice, Management, or Cost/Price Determination","Computer Hardware & Software"
"5548646","2","0","0.5","Ashar Aziz, Geoffrey Mulligan, Martin Patterson, Glenn Scott","27","2","UNITED STATES","SUN MICROSYSTEMS, INC.","Electrical Computers and Digital Processing Systems:  Support","Computer Hardware & Software"
"5591236","1","1","0.5","Timothy Roetker","15","89","UNITED STATES","PROCTER + GAMBLE COMPANY","Bleaching and Dyeing; Fluid Treatment and Chemical Modification of Textiles and Fibers","Agriculture,Food,Textiles"
"5610864","1","1","0.5","Troy Manning","13","30","UNITED STATES","MICRON TECHNOLOGY, INC.","Static Information Storage and Retrieval","Information Storage"
"5619716","1","1","0.5","Hideaki Ishida, Hiromichi Itoh, Keiichi Nakane, Naomichi Nonaka","15","7","JAPAN","HITACHI, LTD","Information Processing System Organization","Computer Hardware & Software"
"5690722","0","2","0.5","Norman Pawlowski","11","14","UNITED STATES","HEWLETT-PACKARD COMPANY","Compositions:  Coating or Plastic","Coating"
"5742675","0","2","0.5","Sven Kilander, Christopher Sheahan","14","18","SWEDEN","TELEFONAKTIEBOLAGET LM ERICSSON","Telephonic Communications","Communications"
"5591858","2","1","0.333333","Richard Beard, Roshantha Chandraratna, Tien Duong, Alan Johnson, Yuan Lin, Min Teng, Vidyasagar Vuligonda","18","57","UNITED STATES","ALLERGAN, INC.","Organic Compounds -- Part of the Class 532-570 Series","Organic Compounds"
