Id,Degree,Weighted Degree,betweenesscentrality
3982260,9,428,819.416667
4282931,25,1273,652.761616
4199101,14,865,503.970238
4293245,21,1236,460.452165
4265541,15,588,386.575758
4290173,12,555,315.716667
2944140,11,585,277.845238
3316067,11,499,264.733333
2315123,23,1442,233.869841
4290170,4,105,208.6
