Id,Degree,Weighted Degree,closnesscentrality
4282100,10,484,0.916667
4298781,10,356,0.916667
2692625,8,353,0.9
4281106,7,214,0.888889
4298402,7,303,0.888889
3648686,6,169,0.875
3648688,6,195,0.875
3648689,6,154,0.875
3934827,6,161,0.875
4232523,6,199,0.875
