Id,Degree,Weighted Degree,clustering
2778764,7,220,0.952381
4282923,7,273,0.952381
4282924,7,228,0.952381
4175177,5,129,0.9
4254834,5,196,0.9
4282103,5,202,0.9
4282928,5,146,0.9
1122395,6,196,0.866667
4275181,6,211,0.866667
4275182,6,207,0.866667
