Id,indegree,outdegree,closnesscentrality,Wynalazcy,Kraj,Firma,Klasa,Podkategoria
"5421819","0","31","0.918919","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5435805","0","31","0.918919","James Baker, Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5456662","0","31","0.918919","David Douglass, Stuart Edwards","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5470308","0","31","0.918919","Stuart Edwards, Ronald Lax, Ingemar Lundquist, Hugh Sharkey","UNITED STATES","VIDAMED, INC.","Surgery","Surgery & Med Inst."
"5409000","0","6","0.875","Mir Imran","UNITED STATES","CARDIAC PATHWAYS CORPORATION","Surgery","Surgery & Med Inst."
"5418180","0","5","0.857143","Kris Brown","UNITED STATES","MICRON SEMICONDUCTOR, INC.","Semiconductor Device Manufacturing: Process","Semiconductor Devices"
"5454370","0","5","0.857143","Boaz Avitall","UNITED STATES","None","Surgery","Surgery & Med Inst."
"5432907","0","4","0.833333","Jose Picazo, William Steels","UNITED STATES","NETWORK RESOURCES CORPORATION","Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating","Computer Hardware & Software"
"5434913","0","4","0.833333","Peter Tung, Ben Vrvilo","UNITED STATES","INTEL CORPORATION","Telephonic Communications","Communications"
"5361350","1","3","0.8","Mike Conner, Andrew Martin, Larry Raper","UNITED STATES","INTERNATIONAL BUSINESS MACHINES CORPORATION","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
