patent,citedby,citingno,country,company,class,subcategory,inventor
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Helena Ho
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Michael Pratt
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Thomas Oshidari
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Pong Lim
5385764,2,251, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5385764,2,251, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5456312,27,229, UNITED STATES,BAKER HUGHES INCORPORATED                                                       , Wells                                                                                                                                                                                                                                                          ,Earth Working & Wells,Harold Harvey
5456312,27,229, UNITED STATES,BAKER HUGHES INCORPORATED                                                       , Wells                                                                                                                                                                                                                                                          ,Earth Working & Wells,Gerald Lynde
5453310,3,220, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5453310,3,220, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5458754,7,220, UNITED STATES,MULTI-ARC SCIENTIFIC COATINGS                                                   , Chemistry:  Electrical and Wave Energy                                                                                                                                                                                                                         ,Miscellaneous-chemical,Paul Sathrum
5458754,7,220, UNITED STATES,MULTI-ARC SCIENTIFIC COATINGS                                                   , Chemistry:  Electrical and Wave Energy                                                                                                                                                                                                                         ,Miscellaneous-chemical,Bernard Coll
5335277,40,217, UNITED STATES,PERSONALIZED MASS MEDIA CORPORATION                                             , Cryptography                                                                                                                                                                                                                                                   ,Computer Hardware & Software,John Harvey
5335277,40,217, UNITED STATES,PERSONALIZED MASS MEDIA CORPORATION                                             , Cryptography                                                                                                                                                                                                                                                   ,Computer Hardware & Software,James Cuddihy
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,David Eversdyk
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Nicole Whiteman
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,David Kelley
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Shih-Yaw Lai
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Michael Langohr
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Todd Obijeski
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Rajen Patel
5395471,29,213, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Lichih Peng
5415816,7,200, UNITED STATES,"Q2100, INC.                                                                     ", Plastic and Nonmetallic Article Shaping or Treating: Processes                                                                                                                                                                                                 ,Mat. Proc & Handling,N. Lipscomb
