patent,citedby,citingno,country,company,class,subcategory,inventor
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,David Stiles
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,Robert Cargnoni
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,Harold McFarland
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,John Favor
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,Korbin Van Dyke
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,Shrenik Mehta
5226126,218,28, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,Dale Greenley
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,James McHenry
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Donald Klika
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Arthur Richard
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Daniel Konkle
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Carl Coddington
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Larry Litteral
5247347,205,23, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Jeffrey Gold
5181162,198,12, UNITED STATES,EASTMAN KODAK COMPANY                                                           ," Data Processing:  Database and File Management, Data Structures, or Document Processing                                                                                                                                                                        ",Computer Hardware & Software,David Ting
5181162,198,12, UNITED STATES,EASTMAN KODAK COMPANY                                                           ," Data Processing:  Database and File Management, Data Structures, or Document Processing                                                                                                                                                                        ",Computer Hardware & Software,Jan Boer
5181162,198,12, UNITED STATES,EASTMAN KODAK COMPANY                                                           ," Data Processing:  Database and File Management, Data Structures, or Document Processing                                                                                                                                                                        ",Computer Hardware & Software,Marvin Mendelssohn
5181162,198,12, UNITED STATES,EASTMAN KODAK COMPANY                                                           ," Data Processing:  Database and File Management, Data Structures, or Document Processing                                                                                                                                                                        ",Computer Hardware & Software,Robert Smith
5329578,184,7, CANADA,NORTHERN TELECOM LIMITED                                                        , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Paul Brennan
5329578,184,7, CANADA,NORTHERN TELECOM LIMITED                                                        , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Raymond Mark
5181364,176,10, UNITED STATES,HIGHLAND SUPPLY CORPORATION                                                     , Package Making                                                                                                                                                                                                                                                 ,Receptacles,Donald Weder
5226130,176,21, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,David Stiles
5226130,176,21, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,John Favor
5226130,176,21, UNITED STATES,NEXGEN MICROSYSTEMS                                                             ," Electrical Computers and Digital Processing Systems:  Processing Architectures and Instruction Processing (e.g., Processors)                                                                                                                                   ",Computer Hardware & Software,Korbin Van Dyke
5272236,148,14, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,John Wilson
5272236,148,14, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,James Stevens
5272236,148,14, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,George Knight
5272236,148,14, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,Shih-Yaw Lai
5272236,148,14, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,Pak-Wing Chum
5193110,147,17, UNITED STATES,"BOSTON TECHNOLOGY, INC.                                                         ", Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Donald Picard
5193110,147,17, UNITED STATES,"BOSTON TECHNOLOGY, INC.                                                         ", Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Richard Cohen
5193110,147,17, UNITED STATES,"BOSTON TECHNOLOGY, INC.                                                         ", Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Amitava Mukherjee
5193110,147,17, UNITED STATES,"BOSTON TECHNOLOGY, INC.                                                         ", Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Allen Arumainayagam
5193110,147,17, UNITED STATES,"BOSTON TECHNOLOGY, INC.                                                         ", Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Scott Jones
5260611,145,16, UNITED STATES,ALTERA CORPORATION                                                              , Electronic Digital Logic Circuitry                                                                                                                                                                                                                             ,Semiconductor Devices,Francis Heile
5260611,145,16, UNITED STATES,ALTERA CORPORATION                                                              , Electronic Digital Logic Circuitry                                                                                                                                                                                                                             ,Semiconductor Devices,Richard Cliff
5260611,145,16, UNITED STATES,ALTERA CORPORATION                                                              , Electronic Digital Logic Circuitry                                                                                                                                                                                                                             ,Semiconductor Devices,Bahram Ahanin
5260611,145,16, UNITED STATES,ALTERA CORPORATION                                                              , Electronic Digital Logic Circuitry                                                                                                                                                                                                                             ,Semiconductor Devices,Kerry Veenstra
5260611,145,16, UNITED STATES,ALTERA CORPORATION                                                              , Electronic Digital Logic Circuitry                                                                                                                                                                                                                             ,Semiconductor Devices,Bruce Pedersen
5260611,145,16, UNITED STATES,ALTERA CORPORATION                                                              , Electronic Digital Logic Circuitry                                                                                                                                                                                                                             ,Semiconductor Devices,Craig Lytle
5220501,142,37, UNITED STATES,"ONLINE RESOURCES, LTD.                                                          "," Data Processing: Financial, Business Practice, Management, or Cost/Price Determination                                                                                                                                                                         ",Computer Hardware & Software,Matthew Lawlor
5220501,142,37, UNITED STATES,"ONLINE RESOURCES, LTD.                                                          "," Data Processing: Financial, Business Practice, Management, or Cost/Price Determination                                                                                                                                                                         ",Computer Hardware & Software,Timothy Carmody
