patent,citedby,citingno,country,company,class,subcategory,inventor
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Raymond Underwood
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Roger Phillips
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Geoffery McGarraugh
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Franklin Jurik
5545450,9,333, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5545450,9,333, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5582670,3,321, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Simon Hodson
5582670,3,321, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Adhesive Bonding and Miscellaneous Chemical Manufacture                                                                                                                                                                                                        ,Miscellaneous-chemical,Per Andersen
5580624,6,312, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5580624,6,312, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Helena Ho
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Pong Lim
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Thomas Oshidari
5471527,6,270, UNITED STATES,DSC COMMUNICATIONS CORPORATION                                                  , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Michael Pratt
5550746,14,264, UNITED STATES,AMERICAN GREETINGS CORPORATION                                                  , Data Processing:  Generic Control Systems or Specific Applications                                                                                                                                                                                             ,Computer Hardware & Software,Herbert Jacobs
5508072,26,255, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5508072,26,255, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5385764,2,251, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5385764,2,251, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5456312,27,229, UNITED STATES,BAKER HUGHES INCORPORATED                                                       , Wells                                                                                                                                                                                                                                                          ,Earth Working & Wells,Gerald Lynde
5456312,27,229, UNITED STATES,BAKER HUGHES INCORPORATED                                                       , Wells                                                                                                                                                                                                                                                          ,Earth Working & Wells,Harold Harvey
5518730,15,226, UNITED STATES,FUISZ TECHNOLOGIES LTD.                                                         ," Drug, Bio-Affecting and Body Treating Compositions                                                                                                                                                                                                             ",Drugs,Richard Fuisz
