patent,citedby,citingno,country,company,class,subcategory,inventor
5608786,52,6, CANADA,ALPHANET TELECOM INC.                                                           , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Alastair Gordon
5623601,48,3, CANADA,MILKWAY NETWORKS CORPORATION                                                    , Electrical Computers and Digital Processing Systems:  Support                                                                                                                                                                                                  ,Computer Hardware & Software,Hung Vu
5708780,48,4, UNITED STATES,"OPEN MARKET, INC.                                                               ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Thomas Levergood
5708780,48,4, UNITED STATES,"OPEN MARKET, INC.                                                               ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Stephen Morris
5708780,48,4, UNITED STATES,"OPEN MARKET, INC.                                                               ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,George Treese
5708780,48,4, UNITED STATES,"OPEN MARKET, INC.                                                               ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Lawrence Stewart
5708780,48,4, UNITED STATES,"OPEN MARKET, INC.                                                               ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Andrew Payne
5641974,44,23, UNITED STATES,"OIS OPTICAL IMAGING SYSTEMS, INC.                                               "," Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)                                                                                                                                                                                             ",Semiconductor Devices,John Zhong
5641974,44,23, UNITED STATES,"OIS OPTICAL IMAGING SYSTEMS, INC.                                               "," Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)                                                                                                                                                                                             ",Semiconductor Devices,Willem den Boer
5641974,44,23, UNITED STATES,"OIS OPTICAL IMAGING SYSTEMS, INC.                                               "," Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)                                                                                                                                                                                             ",Semiconductor Devices,Tieer Gu
5649186,44,4, UNITED STATES,"SILICON GRAPHICS, INC.                                                          "," Data Processing:  Database and File Management, Data Structures, or Document Processing                                                                                                                                                                        ",Computer Hardware & Software,Gregory Ferguson
5630125,42,12, UNITED STATES,," Data Processing:  Database and File Management, Data Structures, or Document Processing                                                                                                                                                                        ",Computer Hardware & Software,Paul Zellweger
5596564,41,5, JAPAN,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.                                        ", Dynamic Information Storage or Retrieval                                                                                                                                                                                                                       ,Information Storage,Yasushi Azumatani
5596564,41,5, JAPAN,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.                                        ", Dynamic Information Storage or Retrieval                                                                                                                                                                                                                       ,Information Storage,Hiroshi Hamasaka
5596564,41,5, JAPAN,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.                                        ", Dynamic Information Storage or Retrieval                                                                                                                                                                                                                       ,Information Storage,Yoshihisa Fukushima
5596564,41,5, JAPAN,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.                                        ", Dynamic Information Storage or Retrieval                                                                                                                                                                                                                       ,Information Storage,Masahiro Inagaki
5591197,39,10, UNITED STATES,"ADVANCED CARDIOVASCULAR SYSTEMS, INC.                                           "," Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor                                                                                                                                                                    ",Miscellaneous-Drgs&Med,Scott Anderson
5591197,39,10, UNITED STATES,"ADVANCED CARDIOVASCULAR SYSTEMS, INC.                                           "," Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor                                                                                                                                                                    ",Miscellaneous-Drgs&Med,Peter Brown
5591197,39,10, UNITED STATES,"ADVANCED CARDIOVASCULAR SYSTEMS, INC.                                           "," Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor                                                                                                                                                                    ",Miscellaneous-Drgs&Med,Geoffrey Orth
5632021,38,9, UNITED STATES,"CISCO SYSTEMS, INC.                                                             ", Electrical Computers and Digital Data Processing Systems:  Input/Output                                                                                                                                                                                        ,Computer Hardware & Software,John Wong
5632021,38,9, UNITED STATES,"CISCO SYSTEMS, INC.                                                             ", Electrical Computers and Digital Data Processing Systems:  Input/Output                                                                                                                                                                                        ,Computer Hardware & Software,William Jennings
5632021,38,9, UNITED STATES,"CISCO SYSTEMS, INC.                                                             ", Electrical Computers and Digital Data Processing Systems:  Input/Output                                                                                                                                                                                        ,Computer Hardware & Software,Roland Chan
5633861,38,15, UNITED STATES,ALCATEL DATA NETWORKS INC.                                                      , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Raymond Hanson
5633861,38,15, UNITED STATES,ALCATEL DATA NETWORKS INC.                                                      , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Jonathan White
5633861,38,15, UNITED STATES,ALCATEL DATA NETWORKS INC.                                                      , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Srinivas Dabir
5633861,38,15, UNITED STATES,ALCATEL DATA NETWORKS INC.                                                      , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Barton Milburn
5633861,38,15, UNITED STATES,ALCATEL DATA NETWORKS INC.                                                      , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Tony Mazraani
5633861,38,15, UNITED STATES,ALCATEL DATA NETWORKS INC.                                                      , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Albert Lespagnol
