patent,citedby,citingno,country,company,class,subcategory,inventor
5572643,173,19, UNITED STATES,, Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,David Judson
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Carl Meske
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Philip Hooper
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Mark Opperman
5414455,112,16, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Matthew Goldman
5414455,112,16, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Peter Bixby
5414455,112,16, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Donald Hooper
5414455,112,16, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Suban Krishnamoorthy
5416797,111,11, UNITED STATES,"QUALCOMM, INC.                                                                  ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Andrew Viterbi
5416797,111,11, UNITED STATES,"QUALCOMM, INC.                                                                  ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Lindsay Weaver
5416797,111,11, UNITED STATES,"QUALCOMM, INC.                                                                  ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Roberto Padovani
5416797,111,11, UNITED STATES,"QUALCOMM, INC.                                                                  ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Klein Gilhousen
5416797,111,11, UNITED STATES,"QUALCOMM, INC.                                                                  ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Irwin Jacobs
5414796,109,52, UNITED STATES,"QUALCOMM, INC.                                                                  "," Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression                                                                                                                                              ",Computer Hardware & Software,S. Lam
5414796,109,52, UNITED STATES,"QUALCOMM, INC.                                                                  "," Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression                                                                                                                                              ",Computer Hardware & Software,Ming-Chang Tsai
5414796,109,52, UNITED STATES,"QUALCOMM, INC.                                                                  "," Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression                                                                                                                                              ",Computer Hardware & Software,William Gardner
5414796,109,52, UNITED STATES,"QUALCOMM, INC.                                                                  "," Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression                                                                                                                                              ",Computer Hardware & Software,Klein Gilhousen
5414796,109,52, UNITED STATES,"QUALCOMM, INC.                                                                  "," Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression                                                                                                                                              ",Computer Hardware & Software,Chong Lee
5414796,109,52, UNITED STATES,"QUALCOMM, INC.                                                                  "," Data Processing: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression                                                                                                                                              ",Computer Hardware & Software,Paul Jacobs
5442390,92,22, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Peter Bixby
5442390,92,22, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Suban Krishnamoorthy
5442390,92,22, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Donald Hooper
5442390,92,22, UNITED STATES,DIGITAL EQUIPMENT CORPORATION                                                   , Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Matthew Goldman
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Carl Coddington
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Bernard Craig
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Jeffrey Gold
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Donald Klika
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Daniel Konkle
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Larry Litteral
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,James McHenry
5410343,88,26, UNITED STATES,"BELL ATLANTIC NETWORK SERVICES, INC.                                            ", Television                                                                                                                                                                                                                                                     ,Miscellaneous-Elec,Arthur Richard
5406557,84,5, UNITED STATES,NATIONAL SEMICONDUCTOR CORPORATION                                              , Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Claude Baudoin
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Andy Grimes
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Bruce Nutbrown
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Chris Oliver
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Kurt Dobbins
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Roger Dev
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Tom Parker
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Phil Andlauer
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Jason Jeffords
5485455,82,8, UNITED STATES,"CABLETRON SYSTEMS, INC.                                                         ", Multiplex Communications                                                                                                                                                                                                                                       ,Communications,Dan Hullette
5403311,79,33, UNITED STATES,BOSTON SCIENTIFIC CORPORATION                                                   , Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,John Abele
5403311,79,33, UNITED STATES,BOSTON SCIENTIFIC CORPORATION                                                   , Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,Michael Vergano
5403311,79,33, UNITED STATES,BOSTON SCIENTIFIC CORPORATION                                                   , Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,Steven Rowe
5403311,79,33, UNITED STATES,BOSTON SCIENTIFIC CORPORATION                                                   , Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,Christopher Rowland
