patent,citedby,citingno,country,company,class,subcategory,inventor
5329578,184,7, CANADA,NORTHERN TELECOM LIMITED                                                        , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Paul Brennan
5329578,184,7, CANADA,NORTHERN TELECOM LIMITED                                                        , Telephonic Communications                                                                                                                                                                                                                                      ,Communications,Raymond Mark
5572643,173,19, UNITED STATES,, Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,David Judson
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Alexander Bidwell
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Robert Cohen
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Lawrence Abrahams
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Kenneth Appleman
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Mel Bellar
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Robert Filepp
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Michael Gordon
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Sam Meo
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Michael Silfen
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Duane Tiemann
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Allan Wolf
5347632,136,16, UNITED STATES,PRODIGY SERVICES COMPANY                                                        , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Francis Young
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Philip Hooper
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Mark Opperman
5530852,136,2, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Carl Meske
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Michael Lucivero
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Wade Boaz
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Sarka Martinez
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Ronald Salpietra
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Olga Savastano
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Ronald Soltis
5333266,135,10, UNITED STATES,INTERNATIONAL BUSINESS MACHINES CORPORATION                                     , Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Daniel D'Elena
5278272,132,13, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,John Wilson
5278272,132,13, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,George Knight
5278272,132,13, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,Shih-Yaw Lai
5278272,132,13, UNITED STATES,DOW CHEMICAL COMPANY                                                            , Synthetic Resins or Natural Rubbers -- Part of the Class 520 Series                                                                                                                                                                                            ,Resins,James Stevens
