Id,indegree,outdegree,clustering,inventor,citedby,citingno,country,company,class,subcategory
"5379431","2","0","0.5","Steven Lemon, Patrick Ross","36","2","UNITED STATES","TALIGENT, INC.","Electrical Computers and Digital Data Processing Systems:  Input/Output","Computer Hardware & Software"
"5394274","2","0","0.5","Leonard Kahn","20","15","UNITED STATES","None","Dynamic Magnetic Information Storage or Retrieval","Information Storage"
"5416833","2","0","0.5","Connie Combs, Myron Harper, Sharon Robson","37","6","UNITED STATES","BELL ATLANTIC NETWORK SERVICES, INC.","Telephonic Communications","Communications"
"5416840","2","0","0.5","David Cane, David Hirschman","23","15","UNITED STATES","PHOENIX TECHNOLOGIES LTD.","Data Processing: Financial, Business Practice, Management, or Cost/Price Determination","Computer Hardware & Software"
"5418951","2","0","0.5","Marc Damashek","42","8","UNITED STATES","UNITED STATES OF AMERICA, DIRECTOR NATIONAL SECURITY AGENCY","Data Processing:  Database and File Management, Data Structures, or Document Processing","Computer Hardware & Software"
"5434093","2","0","0.5","Shahriar Ahmed, Robert Chau, Chan-Hong Chern, Robert Hainsey, Robert Stoner, Todd Wilke, Leopoldo Yau","32","9","UNITED STATES","INTEL CORPORATION","Semiconductor Device Manufacturing: Process","Semiconductor Devices"
"5446565","2","0","0.5","Yoshiaki Komma, Sadao Mizuno, Seji Nishino","53","18","JAPAN","MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","Optics:  Systems (Including Communication) and Elements","Optics"
"5473631","1","1","0.5","Donald Moses","20","5","UNITED STATES","None","Pulse or Digital Communications","Communications"
"5491742","1","1","0.5","Connie Combs, Myron Harper, Sharon Robson","25","7","UNITED STATES","BELL ATLANTIC NETWORK SERVICES, INC.","Telephonic Communications","Communications"
"5538913","0","2","0.5","Gary Hong","26","6","TAIWAN","UNITED MICROELECTRONICS CORPORATION","Semiconductor Device Manufacturing: Process","Semiconductor Devices"
